pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE
Basque-Spain,Somali,0.307,6,13,0.1
Mansi,Somali,0.199,5,13,0.1
French-Southeast,Spanish-South,3.471,5,8,0.561
Libyan,Hungary-AJ,1.917,5,26,0.188
Eritrean,Kazakh-East,0.316,3,13,0.153
Spanish-Northwest,Hungary-AJ,2.042,5,26,0.248
Jew-Iberian,Spanish-Northwest,2.297,3,5,1.008
Cossack,Swede,7.317,4,20,0.53
Brahmin,Roman-Iberia,1.605,3,28,0.246
Kyrgyz-South,Roman-Iberia,0.76,6,28,0.109
English-Southeast,Albanian,4.019,5,9,0.5
Spanish-Northwest,Jew-Kurdish,1.316,5,8,0.284
Cossack,Hemshin,3.265,4,8,0.627
Algerian,Basque-Spain,0.817,4,6,0.296
Algerian,Greek-South,0.724,4,16,0.182
Jew-Iberian,Italian-South,1.846,3,15,0.362
Netherlands-AJ,Avar,1.465,4,10,0.27
English-Southeast,Roman-Iberia,2.472,5,28,0.207
Jew-Iraqi,Avar,0.702,6,10,0.16
Scot,Hazara,1.947,4,11,0.33
French-Southeast,Yemenite-Northwest,0.992,5,26,0.157
Sicilian-East,Belarusian,2.86,6,14,0.274
Libyan,Jew-Kurdish,1.337,5,8,0.332
Eritrean,Austria-AJ,0.242,3,3,0.242
Kyrgyz-South,Albanian,0.904,6,9,0.21
Austria-AJ,Turkmen,0.979,3,8,0.288
Afar,Belarusian,0.31,5,14,0.113
Brahmin,Albanian,2.166,3,9,0.382
Netherlands-AJ,Bashkir,1.98,4,56,0.162
English-Southwest,BedouinB,0.683,5,12,0.18
Austria-AJ,Hungarian,2.553,3,21,0.405
Shaigi,Italian-North,1.546,3,12,0.357
Jew-Cochin,BedouinB,0.963,5,12,0.231
Jew-Iraqi,Bashkir,1.076,6,56,0.095
French-Southwest,Greek-South,1.992,6,16,0.263
Kryashen,Hazara,2.446,3,11,0.509
Spanish-Northwest,Jew-Iranian,1.206,5,9,0.269
French-Southeast,Darginian,1.901,5,8,0.433
Libyan,Georgian,0.924,5,26,0.148
Spanish-Northwest,Georgian,1.317,5,26,0.158
Mansi,Czechia-AJ,2.02,5,13,0.335
Eritrean,Kazakh-West,0.396,3,13,0.153
English-Southeast,Turk-Northeast,1.514,5,9,0.329
Basque-Spain,Czechia-AJ,3.299,6,13,0.353
Cossack,Iranian-South,1.6,4,8,0.311
Cossack,Brahui,1.011,4,21,0.178
Jew-Iberian,English-Southwest,1.577,3,5,0.436
English-Southeast,Yemenite-Highlands,0.984,5,29,0.131
Algerian,Estonian,1.218,4,16,0.24
Brahmin,Yemenite-Highlands,0.751,3,29,0.161
Kyrgyz-South,Yemenite-Highlands,0.353,6,29,0.073
French-Southeast,Jew-Bulgarian,2.477,5,26,0.238
Netherlands-AJ,Turk-South,1.791,4,10,0.369
Scot,Kumyk,3.259,4,11,0.558
Jew-Iberian,Tuscan,2.179,3,15,0.353
Algerian,Kyrgyz-South,0.34,4,6,0.248
Libyan,Jew-Iranian,1.36,5,9,0.259
Jew-Iraqi,Turk-South,1.328,6,10,0.212
Sicilian-East,Basque-France,2.633,6,14,0.303
Austria-AJ,Turk-West,1.54,3,8,0.361
Afar,Basque-France,0.36,5,14,0.116
Kyrgyz-South,Turk-Northeast,0.727,6,9,0.175
Brahmin,Turk-Northeast,1.201,3,9,0.323
Eritrean,Kryashen,0.0,3,3,0.0
Netherlands-AJ,Spanish-Catalonia,3.453,4,57,0.208
English-Southwest,Jew-Uzbek,2.088,5,12,0.276
Jew-Cochin,Jew-Uzbek,1.78,5,12,0.326
